Model,K,Silhouette,Time_sec,Smallest_Cluster,Largest_Cluster,Average_Cluster_Size
E5,200,0.0445,1.6,1,297,12.47
E5,225,0.0517,1.52,1,297,11.08
E5,250,0.0583,1.31,1,217,9.98
E5,275,0.065,1.31,1,217,9.07
E5,300,0.072,1.54,1,217,8.31
E5,325,0.0814,1.37,1,217,7.67
E5,350,0.084,1.34,1,217,7.13
E5,400,0.0963,1.43,1,121,6.24
BGE-M3,200,0.0793,1.36,1,324,12.47
BGE-M3,225,0.0883,1.32,1,324,11.08
BGE-M3,250,0.096,1.3,1,324,9.98
BGE-M3,275,0.1057,1.33,1,193,9.07
BGE-M3,300,0.1149,1.33,1,193,8.31
BGE-M3,325,0.1243,1.34,1,193,7.67
BGE-M3,350,0.1348,1.34,1,113,7.13
BGE-M3,400,0.1507,1.36,1,113,6.24
Qwen3,200,0.0808,1.31,1,93,12.47
Qwen3,225,0.09,1.33,1,56,11.08
Qwen3,250,0.1004,1.37,1,56,9.98
Qwen3,275,0.1082,1.34,1,53,9.07
Qwen3,300,0.1173,1.35,1,44,8.31
Qwen3,325,0.1243,1.34,1,44,7.67
Qwen3,350,0.133,1.36,1,44,7.13
Qwen3,400,0.1471,1.42,1,44,6.24
