subject_id,subject_name,subject_fullname
1,Fen,Fen
5,Tıp,Fen > Tıp
6,Temel Bilimler,Fen > Temel Bilimler
8,Veterinerlik,Fen > Veterinerlik
9,Eczacılık,Fen > Eczacılık
11,Acil Tıp,Fen > Tıp > Acil Tıp
12,Adli Tıp,Fen > Tıp > Adli Tıp
13,Aile Çalışmaları,Sosyal > Sosyal > Aile Çalışmaları
14,Akustik,Fen > Temel Bilimler > Akustik
15,Alerji,Fen > Tıp > Alerji
16,Anatomi ve Morfoloji,Fen > Tıp > Anatomi ve Morfoloji
17,Androloji,Fen > Tıp > Androloji
18,Anestezi,Fen > Tıp > Anestezi
19,Antropoloji,Sosyal > Sosyal > Antropoloji
20,Arkeoloji,Sosyal > Sosyal > Arkeoloji
21,Astronomi ve Astrofizik,Fen > Temel Bilimler > Astronomi ve Astrofizik
22,Asya Çalışmaları,Sosyal > Sosyal > Asya Çalışmaları
23,Bahçe Bitkileri,Fen > Ziraat > Bahçe Bitkileri
24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık
25,Beslenme ve Diyetetik,Sosyal > Sosyal > Beslenme ve Diyetetik
26,Beşeri Bilimler,Sosyal > Sosyal > Beşeri Bilimler
27,"Bilgi, Belge Yönetimi","Sosyal > Sosyal > Bilgi, Belge Yönetimi"
28,"Bilgisayar Bilimleri, Bilgi Sistemleri","Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri"
29,"Bilgisayar Bilimleri, Donanım ve Mimari","Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari"
30,"Bilgisayar Bilimleri, Sibernitik","Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik"
31,"Bilgisayar Bilimleri, Teori ve Metotlar","Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar"
32,"Bilgisayar Bilimleri, Yapay Zeka","Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka"
33,"Bilgisayar Bilimleri, Yazılım Mühendisliği","Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği"
