Model,Algorithm,K,Silhouette,Weighted_Purity,Mean_Cluster_Purity,Singleton_Clusters,Singleton_Ratio,Smallest_Cluster,Largest_Cluster
E5,K-Means,100,0.0395,0.4783,0.5086,0,0.0,3,30
E5,K-Means,150,0.0338,0.5231,0.5908,2,0.0133,1,29
E5,K-Means,175,0.0305,0.5382,0.5966,2,0.0114,1,27
E5,K-Means,195,0.0318,0.561,0.6254,6,0.0308,1,23
E5,K-Means,200,0.0361,0.5548,0.6235,6,0.03,1,23
E5,K-Means,225,0.0361,0.5844,0.6484,12,0.0533,1,21
E5,K-Means,250,0.0388,0.601,0.6731,17,0.068,1,17
E5,K-Means,300,0.0342,0.6244,0.7155,39,0.13,1,18
E5,K-Means,400,0.0418,0.6816,0.7841,97,0.2425,1,13
E5,Agglomerative,100,-0.0031,0.2667,0.7058,26,0.26,1,391
E5,Agglomerative,150,0.0095,0.3549,0.7572,43,0.2867,1,274
E5,Agglomerative,175,0.0228,0.4149,0.7696,49,0.28,1,218
E5,Agglomerative,195,0.0228,0.4431,0.7841,55,0.2821,1,161
E5,Agglomerative,200,0.0262,0.459,0.7835,55,0.275,1,159
E5,Agglomerative,225,0.0322,0.499,0.7987,70,0.3111,1,115
E5,Agglomerative,250,0.0408,0.5334,0.8016,81,0.324,1,89
E5,Agglomerative,300,0.0513,0.5803,0.819,116,0.3867,1,70
E5,Agglomerative,400,0.0613,0.6651,0.8621,191,0.4775,1,41
BGE-M3,K-Means,100,0.0208,0.4204,0.4435,0,0.0,3,41
BGE-M3,K-Means,150,0.0165,0.4562,0.5133,0,0.0,2,27
BGE-M3,K-Means,175,0.0151,0.4976,0.5746,5,0.0286,1,27
BGE-M3,K-Means,195,0.0177,0.501,0.5672,3,0.0154,1,25
BGE-M3,K-Means,200,0.0183,0.4962,0.5653,4,0.02,1,24
BGE-M3,K-Means,225,0.0153,0.5217,0.6222,15,0.0667,1,22
BGE-M3,K-Means,250,0.0228,0.5486,0.6304,7,0.028,1,21
BGE-M3,K-Means,300,0.0168,0.5796,0.6766,35,0.1167,1,17
BGE-M3,K-Means,400,0.024,0.6347,0.7385,74,0.185,1,16
BGE-M3,Agglomerative,100,0.0075,0.3356,0.6829,21,0.21,1,350
BGE-M3,Agglomerative,150,0.0231,0.4204,0.7148,31,0.2067,1,265
BGE-M3,Agglomerative,175,0.03,0.4562,0.7133,35,0.2,1,222
BGE-M3,Agglomerative,195,0.0295,0.4735,0.7207,42,0.2154,1,222
BGE-M3,Agglomerative,200,0.0292,0.4762,0.7261,46,0.23,1,222
BGE-M3,Agglomerative,225,0.038,0.5162,0.7281,48,0.2133,1,186
BGE-M3,Agglomerative,250,0.0402,0.5293,0.7327,56,0.224,1,186
BGE-M3,Agglomerative,300,0.0425,0.5589,0.7479,80,0.2667,1,177
BGE-M3,Agglomerative,400,0.0575,0.6258,0.7825,125,0.3125,1,58
Qwen3,K-Means,100,0.046,0.4859,0.5116,0,0.0,3,31
Qwen3,K-Means,150,0.0455,0.5121,0.5395,2,0.0133,1,22
Qwen3,K-Means,175,0.0404,0.5458,0.5971,1,0.0057,1,32
Qwen3,K-Means,195,0.0385,0.5617,0.6062,2,0.0103,1,26
Qwen3,K-Means,200,0.0432,0.5727,0.6134,0,0.0,2,28
Qwen3,K-Means,225,0.0445,0.5879,0.6479,8,0.0356,1,22
Qwen3,K-Means,250,0.0497,0.6092,0.6661,7,0.028,1,22
Qwen3,K-Means,300,0.0531,0.6561,0.7271,27,0.09,1,24
Qwen3,K-Means,400,0.0523,0.6947,0.7707,76,0.19,1,20
Qwen3,Agglomerative,100,0.0316,0.3921,0.6422,15,0.15,1,205
Qwen3,Agglomerative,150,0.0468,0.4748,0.6774,25,0.1667,1,193
Qwen3,Agglomerative,175,0.0559,0.5245,0.7036,32,0.1829,1,101
Qwen3,Agglomerative,195,0.0594,0.5493,0.7185,40,0.2051,1,57
Qwen3,Agglomerative,200,0.0611,0.5527,0.7223,40,0.2,1,57
Qwen3,Agglomerative,225,0.0685,0.5817,0.7429,48,0.2133,1,40
Qwen3,Agglomerative,250,0.0725,0.6037,0.7508,52,0.208,1,40
Qwen3,Agglomerative,300,0.0815,0.6465,0.7746,71,0.2367,1,35
Qwen3,Agglomerative,400,0.0838,0.6933,0.8201,132,0.33,1,35
