Model,Algorithm,K,Silhouette,Weighted_Purity,Mean_Cluster_Purity,Singleton_Clusters,Singleton_Ratio,Smallest_Cluster,Largest_Cluster,Silhouette_Normalized,Purity_Normalized,Singleton_Normalized,Balance_Score
E5,K-Means,100,0.0395,0.4783,0.5086,0,0.0,3,30,0.49021864211737626,0.494392523364486,0.0,0.39426185431745586
E5,K-Means,150,0.0338,0.5231,0.5908,2,0.0133,1,29,0.4246260069044878,0.5990654205607477,0.027853403141361255,0.421349831723448
E5,K-Means,175,0.0305,0.5382,0.5966,2,0.0114,1,27,0.3866513233601841,0.6343457943925235,0.023874345549738222,0.42839342509436934
E5,K-Means,195,0.0318,0.561,0.6254,6,0.0308,1,23,0.4016110471806674,0.6876168224299067,0.06450261780104713,0.45139120180894415
E5,K-Means,200,0.0361,0.5548,0.6235,6,0.03,1,23,0.45109321058688145,0.6731308411214952,0.06282722513089005,0.45932793871063404
E5,K-Means,225,0.0361,0.5844,0.6484,12,0.0533,1,21,0.45109321058688145,0.7422897196261683,0.11162303664921466,0.4841482156593057
E5,K-Means,250,0.0388,0.601,0.6731,17,0.068,1,17,0.4821634062140391,0.7810747663551402,0.1424083769633508,0.5067047296491116
E5,K-Means,300,0.0342,0.6244,0.7155,39,0.13,1,18,0.429228998849252,0.8357476635514018,0.27225130890052357,0.49219226965037177
E5,K-Means,400,0.0418,0.6816,0.7841,97,0.2425,1,13,0.5166858457997697,0.969392523364486,0.5078534031413613,0.5381313347939017
E5,Agglomerative,100,-0.0031,0.2667,0.7058,26,0.26,1,391,0.0,0.0,0.5445026178010471,-0.10890052356020943
E5,Agglomerative,150,0.0095,0.3549,0.7572,43,0.2867,1,274,0.14499424626006904,0.2060747663551402,0.6004188481675393,0.02645188742208293
E5,Agglomerative,175,0.0228,0.4149,0.7696,49,0.28,1,218,0.29804372842347526,0.34626168224299064,0.5863874345549739,0.14526647273754312
E5,Agglomerative,195,0.0228,0.4431,0.7841,55,0.2821,1,161,0.29804372842347526,0.4121495327102804,0.5907853403141362,0.1773308168193555
E5,Agglomerative,200,0.0262,0.459,0.7835,55,0.275,1,159,0.33716915995397007,0.4492990654205608,0.5759162303664922,0.210617034623173
E5,Agglomerative,225,0.0322,0.499,0.7987,70,0.3111,1,115,0.40621403912543147,0.5427570093457944,0.6515183246073298,0.2629390514890607
E5,Agglomerative,250,0.0408,0.5334,0.8016,81,0.324,1,89,0.5051783659378596,0.6231308411214953,0.6785340314136126,0.32741212405938297
E5,Agglomerative,300,0.0513,0.5803,0.819,116,0.3867,1,70,0.6260069044879171,0.7327102803738319,0.8098429319371728,0.3921886251458565
