Model,K,FPC,Silhouette,Weighted_Purity,Mean_Top1_Membership,Mean_Top2_Membership,Ambiguous_Ratio,Normalized_Entropy,Singleton_Clusters,Smallest_Cluster,Largest_Cluster,Iterations
E5,100,0.01,-0.1081,0.1647,0.01,0.01,1.0,1.0,7,1,383,3
E5,150,0.0067,-0.0929,0.1571,0.0067,0.0067,1.0,1.0,6,1,336,3
E5,195,0.0051,-0.0866,0.1723,0.0051,0.0051,1.0,1.0,6,1,266,3
E5,225,0.0044,-0.1027,0.1813,0.0044,0.0044,1.0,1.0,9,1,237,3
E5,250,0.004,-0.1055,0.1826,0.004,0.004,1.0,1.0,10,1,248,3
BGE-M3,100,0.01,-0.0594,0.1675,0.01,0.01,1.0,1.0,5,1,528,3
BGE-M3,150,0.0067,-0.0714,0.164,0.0067,0.0067,1.0,1.0,5,1,404,3
BGE-M3,195,0.0051,-0.0812,0.1647,0.0051,0.0051,1.0,1.0,7,1,430,3
BGE-M3,225,0.0044,-0.0861,0.1606,0.0044,0.0044,1.0,1.0,9,1,427,3
BGE-M3,250,0.004,-0.0998,0.1551,0.004,0.004,1.0,1.0,7,1,424,3
Qwen3,100,0.01,-0.0536,0.1606,0.01,0.01,1.0,1.0,5,1,460,3
Qwen3,150,0.0067,-0.0729,0.1985,0.0067,0.0067,1.0,1.0,9,1,353,3
Qwen3,195,0.0051,-0.0619,0.2033,0.0051,0.0051,1.0,1.0,7,1,336,3
Qwen3,225,0.0044,-0.0592,0.1985,0.0044,0.0044,1.0,1.0,8,1,326,3
Qwen3,250,0.004,-0.0679,0.2019,0.004,0.004,1.0,1.0,9,1,341,3
