Model,Min_Cluster_Size,Cluster_Count,Noise_Count,Noise_Ratio,Silhouette
E5,5,2,1786,0.7161,0.0496
E5,10,2,2454,0.984,0.0674
E5,15,0,2494,1.0,
E5,20,0,2494,1.0,
E5,30,0,2494,1.0,
E5,40,0,2494,1.0,
E5,50,0,2494,1.0,
BGE-M3,5,5,1608,0.6447,0.0331
BGE-M3,10,3,2423,0.9715,0.0819
BGE-M3,15,0,2494,1.0,
BGE-M3,20,0,2494,1.0,
BGE-M3,30,0,2494,1.0,
BGE-M3,40,0,2494,1.0,
BGE-M3,50,0,2494,1.0,
Qwen3,5,2,1608,0.6447,0.0477
Qwen3,10,2,2007,0.8047,0.0773
Qwen3,15,0,2494,1.0,
Qwen3,20,0,2494,1.0,
Qwen3,30,0,2494,1.0,
Qwen3,40,0,2494,1.0,
Qwen3,50,0,2494,1.0,
