Model,Top_K,Level,Precision,Recall,F1,Hit_Rate
E5,1,main,0.9588,0.8746,0.9026,0.9588
E5,1,sub,0.9175,0.7228,0.7847,0.9175
E5,1,leaf,0.6529,0.3034,0.403,0.6529
E5,3,main,0.945,0.9708,0.945,0.9966
E5,3,sub,0.8792,0.8946,0.8621,0.9794
E5,3,leaf,0.4536,0.5933,0.501,0.8797
E5,5,main,0.9278,0.9897,0.945,1.0
E5,5,sub,0.8259,0.949,0.8569,0.9931
E5,5,leaf,0.3203,0.6965,0.4289,0.9278
BGE-M3,1,main,0.9485,0.8643,0.8923,0.9485
BGE-M3,1,sub,0.9072,0.7142,0.7755,0.9072
BGE-M3,1,leaf,0.622,0.281,0.3772,0.622
BGE-M3,3,main,0.9381,0.9622,0.9359,0.9931
BGE-M3,3,sub,0.854,0.8677,0.8353,0.9725
BGE-M3,3,leaf,0.3963,0.5207,0.4381,0.8247
BGE-M3,5,main,0.9175,0.9845,0.9347,1.0
BGE-M3,5,sub,0.7981,0.9433,0.8343,0.9966
BGE-M3,5,leaf,0.3003,0.6547,0.4022,0.9072
Qwen3,1,main,0.9416,0.8574,0.8855,0.9416
Qwen3,1,sub,0.9141,0.7159,0.7789,0.9141
Qwen3,1,leaf,0.6598,0.3017,0.4036,0.6598
Qwen3,3,main,0.9313,0.9674,0.9336,0.9966
Qwen3,3,sub,0.8654,0.8906,0.8502,0.9828
Qwen3,3,leaf,0.4433,0.5811,0.4899,0.8694
Qwen3,5,main,0.9003,0.988,0.9255,1.0
Qwen3,5,sub,0.7967,0.9439,0.8335,0.9931
Qwen3,5,leaf,0.3251,0.7041,0.4346,0.9141
