Model,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Time_sec,Smallest_Cluster,Largest_Cluster,Average_Cluster_Size
E5,100,0.048,3.6397,11.39,18.13,8,78,24.94
E5,125,0.0423,3.5441,9.55,17.01,5,58,19.95
E5,150,0.0404,3.3992,8.34,30.29,2,39,16.63
E5,175,0.0406,3.2459,7.5,30.45,2,35,14.25
E5,200,0.0436,3.055,6.89,35.3,2,37,12.47
E5,225,0.0421,2.9656,6.37,35.61,2,30,11.08
E5,250,0.0431,2.8689,5.95,35.95,2,22,9.98
BGE-M3,100,0.0444,3.7639,7.56,15.49,3,54,24.94
BGE-M3,125,0.0448,3.5489,6.63,15.74,3,50,19.95
BGE-M3,150,0.0521,3.3569,5.94,23.86,2,55,16.63
BGE-M3,175,0.0531,3.2134,5.53,33.92,3,40,14.25
BGE-M3,200,0.0573,3.0488,5.13,43.87,2,31,12.47
BGE-M3,225,0.0635,2.8803,4.88,40.76,2,39,11.08
BGE-M3,250,0.0666,2.8143,4.66,34.56,2,34,9.98
Qwen3,100,0.058,3.4713,8.49,15.75,5,55,24.94
Qwen3,125,0.0592,3.298,7.46,17.59,7,41,19.95
Qwen3,150,0.0619,3.1341,6.73,24.75,5,38,16.63
Qwen3,175,0.0655,3.0088,6.19,27.31,3,33,14.25
Qwen3,200,0.0653,2.8927,5.76,35.11,3,29,12.47
Qwen3,225,0.0724,2.7681,5.44,37.02,2,33,11.08
Qwen3,250,0.072,2.6782,5.19,43.86,2,37,9.98
