subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
1,Fen,Fen,Fen,,,1,MAIN_FIELD,Fen,ARTICLE_SUBJECT_DATA
5,Tıp,Fen > Tıp,Fen,Tıp,,2,SUB_FIELD,Fen > Tıp,ARTICLE_SUBJECT_DATA
6,Temel Bilimler,Fen > Temel Bilimler,Fen,Temel Bilimler,,2,SUB_FIELD,Fen > Temel Bilimler,ARTICLE_SUBJECT_DATA
8,Veterinerlik,Fen > Veterinerlik,Fen,Veterinerlik,,2,SUB_FIELD,Fen > Veterinerlik,ARTICLE_SUBJECT_DATA
9,Eczacılık,Fen > Eczacılık,Fen,Eczacılık,,2,SUB_FIELD,Fen > Eczacılık,ARTICLE_SUBJECT_DATA
11,Acil Tıp,Fen > Tıp > Acil Tıp,Fen,Tıp,Acil Tıp,3,LEAF_SUBJECT,Fen > Tıp > Acil Tıp,ARTICLE_SUBJECT_DATA
12,Adli Tıp,Fen > Tıp > Adli Tıp,Fen,Tıp,Adli Tıp,3,LEAF_SUBJECT,Fen > Tıp > Adli Tıp,ARTICLE_SUBJECT_DATA
13,Aile Çalışmaları,Sosyal > Sosyal > Aile Çalışmaları,Sosyal,Sosyal,Aile Çalışmaları,3,LEAF_SUBJECT,Sosyal > Sosyal > Aile Çalışmaları,ARTICLE_SUBJECT_DATA
14,Akustik,Fen > Temel Bilimler > Akustik,Fen,Temel Bilimler,Akustik,3,LEAF_SUBJECT,Fen > Temel Bilimler > Akustik,ARTICLE_SUBJECT_DATA
15,Alerji,Fen > Tıp > Alerji,Fen,Tıp,Alerji,3,LEAF_SUBJECT,Fen > Tıp > Alerji,ARTICLE_SUBJECT_DATA
16,Anatomi ve Morfoloji,Fen > Tıp > Anatomi ve Morfoloji,Fen,Tıp,Anatomi ve Morfoloji,3,LEAF_SUBJECT,Fen > Tıp > Anatomi ve Morfoloji,ARTICLE_SUBJECT_DATA
