article_id,subject_id,subject_name,subject_fullname,root_name,auto_label,main_field,sub_field,leaf_subject
52,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
52,105,Kadın Araştırmaları,Sosyal > Sosyal > Kadın Araştırmaları,Sosyal,True,Sosyal,Sosyal,Kadın Araştırmaları
52,108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal,True,Sosyal,Sosyal,Kamu Yönetimi
53,32,"Bilgisayar Bilimleri, Yapay Zeka","Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",Fen,True,Fen,Mühendislik,"Bilgisayar Bilimleri, Yapay Zeka"
53,84,Görüntüleme Bilimi ve Fotoğraf Teknolojisi,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,Fen,True,Fen,Mühendislik,Görüntüleme Bilimi ve Fotoğraf Teknolojisi
54,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
54,108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal,True,Sosyal,Sosyal,Kamu Yönetimi
55,108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal,True,Sosyal,Sosyal,Kamu Yönetimi
56,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
56,108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal,True,Sosyal,Sosyal,Kamu Yönetimi
57,143,"Mühendislik, Jeoloji","Fen > Mühendislik > Mühendislik, Jeoloji",Fen,True,Fen,Mühendislik,"Mühendislik, Jeoloji"
57,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen,True,Fen,Mühendislik,"Mühendislik, Petrol"
58,111,"Kimya, İnorganik ve Nükleer","Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",Fen,True,Fen,Temel Bilimler,"Kimya, İnorganik ve Nükleer"
78,110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen,True,Fen,Temel Bilimler,"Kimya, Analitik"
79,60,Enerji ve Yakıtlar,Fen > Mühendislik > Enerji ve Yakıtlar,Fen,True,Fen,Mühendislik,Enerji ve Yakıtlar
79,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen,True,Fen,Mühendislik,"Mühendislik, Kimya"
80,110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen,True,Fen,Temel Bilimler,"Kimya, Analitik"
81,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen,True,Fen,Mühendislik,"Mühendislik, Kimya"
81,114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı",Fen,True,Fen,Temel Bilimler,"Kimya, Uygulamalı"
82,148,Nanobilim ve Nanoteknoloji,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,Fen,True,Fen,Mühendislik,Nanobilim ve Nanoteknoloji
82,110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen,True,Fen,Temel Bilimler,"Kimya, Analitik"
83,45,Çevre Mühendisliği,Fen > Mühendislik > Çevre Mühendisliği,Fen,True,Fen,Mühendislik,Çevre Mühendisliği
83,148,Nanobilim ve Nanoteknoloji,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,Fen,True,Fen,Mühendislik,Nanobilim ve Nanoteknoloji
83,114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı",Fen,True,Fen,Temel Bilimler,"Kimya, Uygulamalı"
84,60,Enerji ve Yakıtlar,Fen > Mühendislik > Enerji ve Yakıtlar,Fen,True,Fen,Mühendislik,Enerji ve Yakıtlar
84,142,"Mühendislik, Hava ve Uzay","Fen > Mühendislik > Mühendislik, Hava ve Uzay",Fen,True,Fen,Mühendislik,"Mühendislik, Hava ve Uzay"
84,148,Nanobilim ve Nanoteknoloji,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,Fen,True,Fen,Mühendislik,Nanobilim ve Nanoteknoloji
